
2025-10-09 14:15:26,080 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 550/1258 - loss=0.1781 acc=0.9281
2025-10-09 14:19:28,242 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 600/1258 - loss=0.1781 acc=0.9282
2025-10-09 14:23:08,374 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 650/1258 - loss=0.1780 acc=0.9283
2025-10-09 14:26:43,489 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 700/1258 - loss=0.1784 acc=0.9281
2025-10-09 14:30:31,655 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 750/1258 - loss=0.1782 acc=0.9281
2025-10-09 14:34:04,239 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 800/1258 - loss=0.1775 acc=0.9284
2025-10-09 14:38:01,686 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 850/1258 - loss=0.1768 acc=0.9287
2025-10-09 14:41:26,854 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 900/1258 - loss=0.1767 acc=0.9286
2025-10-09 14:44:59,341 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 950/1258 - loss=0.1761 acc=0.9289
2025-10-09 14:49:11,736 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 1000/1258 - loss=0.1760 acc=0.9290
2025-10-09 14:52:55,321 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 1050/1258 - loss=0.1751 acc=0.9293
2025-10-09 14:57:22,520 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 1100/1258 - loss=0.1749 acc=0.9294
2025-10-09 15:00:13,925 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 1150/1258 - loss=0.1743 acc=0.9295
2025-10-09 15:03:28,772 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 1200/1258 - loss=0.1740 acc=0.9296
2025-10-09 15:05:18,942 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 2 스텝 1250/1258 - loss=0.1734 acc=0.9299
2025-10-09 15:06:52,070 | INFO     | 880794-MainThread | gravifox.train | engine.py:370 | fit | 에폭 002 완료 - train_loss=0.1734 train_acc=0.9299 val_loss=0.2100 val_acc=0.9265 val_f1=0.9265 val_auc=0.9743 val_ece=0.0240 val_tpr@1%=0.7973
2025-10-09 15:11:31,597 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 50/1258 - loss=0.1662 acc=0.9335
2025-10-09 15:14:50,494 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 100/1258 - loss=0.1677 acc=0.9320
2025-10-09 15:18:26,256 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 150/1258 - loss=0.1664 acc=0.9324
2025-10-09 15:22:19,468 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 200/1258 - loss=0.1639 acc=0.9340
2025-10-09 15:25:50,602 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 250/1258 - loss=0.1625 acc=0.9347
2025-10-09 15:29:54,483 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 300/1258 - loss=0.1623 acc=0.9349
2025-10-09 15:33:11,000 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 350/1258 - loss=0.1612 acc=0.9352
2025-10-09 15:37:03,521 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 400/1258 - loss=0.1603 acc=0.9357
2025-10-09 15:41:04,233 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 450/1258 - loss=0.1598 acc=0.9359
2025-10-09 15:44:49,930 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 500/1258 - loss=0.1598 acc=0.9359
2025-10-09 15:47:46,129 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 550/1258 - loss=0.1592 acc=0.9361
2025-10-09 15:51:54,238 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 600/1258 - loss=0.1596 acc=0.9359
2025-10-09 15:54:49,878 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 650/1258 - loss=0.1584 acc=0.9364
2025-10-09 15:58:56,743 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 700/1258 - loss=0.1580 acc=0.9366
2025-10-09 16:02:13,831 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 750/1258 - loss=0.1575 acc=0.9369
2025-10-09 16:06:18,822 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 800/1258 - loss=0.1572 acc=0.9370
2025-10-09 16:09:21,050 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 850/1258 - loss=0.1566 acc=0.9373
2025-10-09 16:13:45,409 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 900/1258 - loss=0.1561 acc=0.9375
2025-10-09 16:17:01,993 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 950/1258 - loss=0.1555 acc=0.9377
2025-10-09 16:21:04,125 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 1000/1258 - loss=0.1551 acc=0.9379
2025-10-09 16:23:53,242 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 1050/1258 - loss=0.1545 acc=0.9381
2025-10-09 16:28:08,975 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 1100/1258 - loss=0.1538 acc=0.9384
2025-10-09 16:31:20,274 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 1150/1258 - loss=0.1534 acc=0.9386
2025-10-09 16:34:38,250 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 1200/1258 - loss=0.1530 acc=0.9388
